"File","Line","Method","Artifact","Text"
"Mods\Categories\Settings.cs","2465","<global>.ApplyKeyValue","compiler-name","int num35 = ColorIndexByName(CS_0024_003C_003E8__locals56.value);"
"Mods\Categories\Settings.cs","2477","<global>.ApplyKeyValue","compiler-name","int num32 = ColorIndexByName(CS_0024_003C_003E8__locals56.value);"
"Mods\Categories\Settings.cs","2489","<global>.ApplyKeyValue","compiler-name","int num29 = ModeIndexByName(CS_0024_003C_003E8__locals56.value);"
"Mods\Categories\Settings.cs","2506","<global>.ApplyKeyValue","compiler-name","if (AnimationSpeedOptions[num27].desc == CS_0024_003C_003E8__locals56.value)"
"Mods\Categories\Settings.cs","2527","<global>.ApplyKeyValue","compiler-name","if (MenuSizeOptions[num25].desc == CS_0024_003C_003E8__locals56.value)"
"Mods\Categories\Settings.cs","2548","<global>.ApplyKeyValue","compiler-name","if (RoundnessOptions[num23].desc == CS_0024_003C_003E8__locals56.value)"
"Mods\Categories\Settings.cs","2561","<global>.ApplyKeyValue","compiler-name","accentStripTypeIndex = Array.IndexOf(AccentStripTypeNames, CS_0024_003C_003E8__locals56.value);"
"Mods\Categories\Settings.cs","2570","<global>.ApplyKeyValue","compiler-name","timeOfDayIndex = Array.IndexOf(TimeOfDayNames, CS_0024_003C_003E8__locals56.value);"
"Mods\Categories\Settings.cs","2595","<global>.ApplyKeyValue","compiler-name","if (OpacityOptions[num16].desc == CS_0024_003C_003E8__locals56.value)"
"Mods\Categories\Settings.cs","2609","<global>.ApplyKeyValue","compiler-name","int num13 = ColorIndexByName(CS_0024_003C_003E8__locals56.value);"
"Mods\Categories\Settings.cs","2621","<global>.ApplyKeyValue","compiler-name","int num10 = ColorIndexByName(CS_0024_003C_003E8__locals56.value);"
"Mods\Categories\Settings.cs","2633","<global>.ApplyKeyValue","compiler-name","int num8 = ModeIndexByName(CS_0024_003C_003E8__locals56.value);"
"Mods\Categories\Settings.cs","2650","<global>.ApplyKeyValue","compiler-name","if (AnimationSpeedOptions[num6].desc == CS_0024_003C_003E8__locals56.value)"
"Mods\Categories\Settings.cs","2664","<global>.ApplyKeyValue","compiler-name","int num = Array.FindIndex(Player._maps, ((string name, string zone, string pos) m) => m.name == CS_0024_003C_003E8__locals56.value);"
"Utilities\Logger.cs","12","<unknown>","display-class","private sealed class _003C_003Ec__DisplayClass4_0"
"Utilities\Logger.cs","16","<global>._003CFormatData_003Eb__2","compiler-name","internal string _003CFormatData_003Eb__2(object k)"
"Utilities\Logger.cs","34","<global>.FormatData","display-class","_003C_003Ec__DisplayClass4_0 CS_0024_003C_003E8__locals4 = new _003C_003Ec__DisplayClass4_0();"
"Utilities\Logger.cs","51","<global>.FormatData","compiler-name","CS_0024_003C_003E8__locals4.hash = (ExitGames.Client.Photon.Hashtable)((data is ExitGames.Client.Photon.Hashtable) ? data : null);"
"Utilities\Logger.cs","52","<global>.FormatData","compiler-name","if (CS_0024_003C_003E8__locals4.hash != null)"
"Utilities\Logger.cs","54","<global>.FormatData","compiler-name","IEnumerable<string> values3 = from object k in ((Dictionary<object, object>)(object)CS_0024_003C_003E8__locals4.hash).Keys"
"Utilities\Logger.cs","55","<global>.FormatData","compiler-name","select $""{k}={FormatData(CS_0024_003C_003E8__locals4.hash[k])}"";"
"Utilities\MenuPatches.cs","47","SlingshotAimbot.Postfix","display-class","private sealed class _003C_003Ec__DisplayClass1_0"
"Utilities\MenuPatches.cs","53","<global>._003CPostfix_003Eb__1","compiler-name","internal bool _003CPostfix_003Eb__1(VRRig rig)"
"Utilities\MenuPatches.cs","58","<global>._003CPostfix_003Eb__2","compiler-name","internal float _003CPostfix_003Eb__2(VRRig rig)"
"Utilities\MenuPatches.cs","71","<global>.Postfix","display-class","_003C_003Ec__DisplayClass1_0 CS_0024_003C_003E8__locals18 = new _003C_003Ec__DisplayClass1_0();"
"Utilities\MenuPatches.cs","87","<global>.Postfix","compiler-name","CS_0024_003C_003E8__locals18.excludedPlayers = new List<NetPlayer>();"
"Utilities\MenuPatches.cs","100","<global>.Postfix","compiler-name","CS_0024_003C_003E8__locals18.excludedPlayers.Add(val2.currentIt);"
"Utilities\MenuPatches.cs","104","<global>.Postfix","compiler-name","CS_0024_003C_003E8__locals18.excludedPlayers.AddRange(val2.currentInfected);"
"Utilities\MenuPatches.cs","106","<global>.Postfix","compiler-name","CS_0024_003C_003E8__locals18.head = ((Component)Variables.taggerInstance.headCollider).transform;"
"Utilities\MenuPatches.cs","109","<global>.Postfix","compiler-name","where !CS_0024_003C_003E8__locals18.excludedPlayers.Contains(RigManager.GetNetPlayerFromVRRig(rig))"
"Utilities\MenuPatches.cs","112","<global>.Postfix","compiler-name","Vector3 val8 = ((Component)rig).transform.position - CS_0024_003C_003E8__locals18.head.position;"
"Utilities\MenuPatches.cs","114","<global>.Postfix","compiler-name","return Vector3.Angle(CS_0024_003C_003E8__locals18.head.forward, normalized) + Vector3.Distance(CS_0024_003C_003E8__locals18.head.position, ((Component)rig).transform.position) * 0.1f;"
"Utilities\MenuPatches.cs","123","<global>.Postfix","compiler-name","CS_0024_003C_003E8__locals18.head = ((Component)Variables.taggerInstance.headCollider).transform;"
"Utilities\MenuPatches.cs","126","<global>.Postfix","compiler-name","where !CS_0024_003C_003E8__locals18.excludedPlayers.Contains(RigManager.GetNetPlayerFromVRRig(rig))"
"Utilities\MenuPatches.cs","129","<global>.Postfix","compiler-name","Vector3 val8 = ((Component)rig).transform.position - CS_0024_003C_003E8__locals18.head.position;"
"Utilities\MenuPatches.cs","131","<global>.Postfix","compiler-name","return Vector3.Angle(CS_0024_003C_003E8__locals18.head.forward, normalized) + Vector3.Distance(CS_0024_003C_003E8__locals18.head.position, ((Component)rig).transform.position) * 0.1f;"
"Utilities\MenuPatches.cs","141","<global>.Postfix","compiler-name","CS_0024_003C_003E8__locals18.head = ((Component)Variables.taggerInstance.headCollider).transform;"
"Utilities\MenuPatches.cs","144","<global>.Postfix","compiler-name","where !CS_0024_003C_003E8__locals18.excludedPlayers.Contains(RigManager.GetNetPlayerFromVRRig(rig))"
"Utilities\MenuPatches.cs","147","<global>.Postfix","compiler-name","Vector3 val8 = ((Component)rig).transform.position - CS_0024_003C_003E8__locals18.head.position;"
"Utilities\MenuPatches.cs","149","<global>.Postfix","compiler-name","return Vector3.Angle(CS_0024_003C_003E8__locals18.head.forward, normalized) + Vector3.Distance(CS_0024_003C_003E8__locals18.head.position, ((Component)rig).transform.position) * 0.1f;"
